,headline,display_date,generated_topics_neutral,generated_topics_bear,generated_topics_bull
5024,Tire Check: The Recall Rolls On: Venezuela Agency Has Big Title Small Budget ---- By Jose de Cordoba Staff Reporter of The Wall Street Journal,2000-09-05 06:00:00.000,Regulatory Budget Constraints,Regulatory Oversight,Regulatory Challenges
5025,PacifiCare May Report 3rd-Period Loss Citing Challenges of Medicare Business ---- By Rhonda L. Rundle Staff Reporter of The Wall Street Journal,2000-10-11 06:00:00.000,Medicare Losses,Medicare Losses,Medicare Challenges
5026,Package Deals: Issue of Police Access To Express Parcels Is No Open-and-Shut Case --- UPS FedEx and Others Fret About Customer Privacy As Drug Seizures Surge --- `The Best Way to Smuggle' ---- By Rick Brooks Staff Reporter of The Wall Street Journal,2000-10-12 06:00:00.000,Privacy Concerns,Privacy Risks,Supply Chain Innovation
5027,The Line Between Proper Improper Activity on Web Grows Increasingly Fuzzy ---- By Ruth Simon and Michael Schroeder Staff Reporters of The Wall Street Journal,2000-10-20 06:00:00.000,Regulatory Uncertainty,Regulatory Uncertainty,Regulatory Ambiguity
5028,Quarter Looks Good for Some Dining Chains --- Lack of New Competition Stable Food Costs Raise 3rd-Period Expectations ---- By Richard Gibson Dow Jones Newswires,2000-10-09 06:00:00.000,Market Stability,Market Saturation,Market Stability
5029,Identity Crisis: Why the Bull Is Acting More Like a Bear ---- By Greg Ip Staff Reporter of The Wall Street Journal,2000-10-10 06:00:00.000,Market Sentiment,Market Sentiment,Market Sentiment
5030,Euro Sets Lows Against Dollar and Yen As Any Intervention Appears Unlikely ---- By Christine Richard Dow Jones Newswires,2000-10-26 06:00:00.000,Currency Depreciation,Currency Devaluation,Currency Volatility
5031,In for a Jolt: An Electricity Crunch May Force the Nation Into Tough Tradeoffs --- The Challenge: How to Pit Environmental Priorities Against Energy Needs --- A Windy `Condor Cuisinart' ---- By Jim Carlton Staff Reporter of The Wall Street Journal,2000-10-10 06:00:00.000,Energy Transition Risks,Energy Crisis,Renewable Energy Transition
5032,Texas Instruments Says Net Rose 69% But It Faces Wireless-Market Slowdown ---- By Evan Ramstad Staff Reporter of The Wall Street Journal,2000-10-19 06:00:00.000,Wireless Market Slowdown,Market Slowdown,Wireless Market Slowdown
5033,SME Loan Hong Kong Gets Its Own Loan --- Internet Lender Faced Same Problems as Its Clients ---- By Henny Sender Staff Reporter of The Wall Street Journal,2000-10-30 07:00:00.000,Financial Accessibility,Loan Defaults,Digital Lending
5034,Amgen Says Profit Rose 20% in Quarter Sees Softening Demand for Main Drugs ---- By Rhonda L. Rundle Staff Reporter of The Wall Street Journal,2000-10-27 06:00:00.000,Pharmaceutical Demand,Earnings Pressure,Market Resilience
5035,Technology Brief -- CACHEFLOW INC.: Entera Will Be Purchased For $440 Million in Stock,2000-10-11 06:00:00.000,Mergers and Acquisitions,Overvaluation,Mergers & Acquisitions
5036,Who's Running This Show? A Reckoning for the WTO --- Trade Group Criticized As a Bully Is Faulted For Being Weak Too ---- By G. Pascal Zachary Staff Reporter of The Wall Street Journal,2000-10-05 06:00:00.000,WTO governance,Trade Governance,Trade Governance
5037,Business Brief -- Luby's Inc.: Board Suspends Payment Of Dividend on Slow Sales,2000-10-30 07:00:00.000,Dividend Suspension,Dividend Suspension,Dividend Stability
5038,As Lucent's CEO Again Henry Schacht Seeks to Straighten Out Year's Setbacks ---- By Shawn Young Staff Reporter of The Wall Street Journal,2000-10-26 06:00:00.000,Corporate Restructuring,Corporate Governance Risks,Corporate Restructuring
5039,Techpacific Managers Investors Are Persuaded To Hold On to Stock After End of Lockup Period ---- By Henny Sender Staff Reporter of The Wall Street Journal,2000-10-31 07:00:00.000,Lockup Expiry Risk,Lockup Expiry Risk,Market Confidence
5040,Judge Overturns Prescription-Drug Law Designed to Bring Down Prices in Maine ---- By Rachel Zimmerman Staff Reporter of The Wall Street Journal,2000-10-27 06:00:00.000,Drug Pricing Regulation,Regulatory Uncertainty,Regulatory Uncertainty
5041,Options Activity Shows Increase in Volatility During Another Difficult Day on Wall Street ---- By Steven M. Sears Dow Jones Newswires,2000-10-11 06:00:00.000,Market Volatility,Market Volatility,Market Volatility
5042,European Fund Fulfills Its Public Duty By Pouring Money Into Private Equity ---- By Charles Fleming Staff Reporter of The Wall Street Journal,2000-10-18 06:00:00.000,Government Intervention,Government Intervention,Public-Private Investment
5043,New York Fed Study Warns Bank May Own All Treasury Debt,2000-10-06 06:00:00.000,Sovereign Debt Concentration,Sovereign Debt Concentration,Market Concentration
5044,Volatility Declines Amid Broad Buying Spree; Financial Technical Sectors See Call Activity ---- By Steven M. Sears Dow Jones Newswires,2000-10-16 06:00:00.000,Market Volatility,Market Overheating,Market Stability
5045,Southeastern Banks Worry About Profits In Face of Diminishing Credit Quality ---- By Bob Sechler Dow Jones Newswires,2000-10-09 06:00:00.000,Banking Sector Risk,Banking Sector Risks,Credit Quality
5046,E-Business & Technology: IBM to Unveil a Push Into Wireless Internet With Product Rollout,2000-10-30 07:00:00.000,Market Competition,Technological Disruption,Technological Innovation
5047,Failure of Japanese Insurers Is a Field Day for Acquirers --- Record Collapse of Kyoei Draws Further Attention To World's No. 2 Market ---- By Phred Dvorak Staff Reporter of The Wall Street Journal,2000-10-23 06:00:00.000,Insurance Sector Risks,Insurer Insolvency,Market Consolidation
5048,Nasdaq's Foray Into Hong Kong Fails to Draw Heavy Trading ---- By Gren Manuel Staff Reporter of The Wall Street Journal,2000-10-24 06:00:00.000,Market Liquidity,Market Liquidity,Market Adoption
5049,Equifax Hopes to Revitalize Its Stock By Spinning Off Payment-Services Unit ---- By Carrick Mollenkamp Staff Reporter of The Wall Street Journal,2000-10-02 06:00:00.000,Corporate Restructuring,Financial Stability,Corporate Restructuring
5050,European Telecom Media and Tech Stocks Face Fragile Sentiment After Week's Ups and Downs ---- By Silvia Ascarelli Staff Reporter of The Wall Street Journal,2000-11-24 07:00:00.000,Market Volatility,Market Volatility,Market Volatility
5051,Dollar Gains on Euro Slips Against Yen As ECB Is Expected to Stay Sidelined ---- By Christine Richard Dow Jones Newswires,2000-11-08 07:00:00.000,Currency Fluctuation,Currency Volatility,Currency Fluctuation
5052,Business Brief -- Fresh America Corp.: Loss in 3rd Quarter Narrows Because of One-Time Gain,2000-11-14 07:00:00.000,Earnings Volatility,Earnings Manipulation,One-Time Gains
5053,Bill Gates Takes Stock of PCs in Age of the Internet --- As Comdex Begins He Asserts New Technology Won't End Need for Desktop Software ---- By Rebecca Buckman Staff Reporter of The Wall Street Journal,2000-11-13 07:00:00.000,Technological Obsolescence,Legacy Software,Technological Resilience
5054,Russia Says New Note Found in Sunken Submarine --- Excerpts Read by Kremlin Seem to Support Its View That Crew Was Doomed ---- By Alan Cullison Staff Reporter of The Wall Street Journal,2000-11-09 07:00:00.000,Military escalation,Military escalation,Military Innovation
5055,Business Brief -- Hain Celestial Group Inc.: Disappointing Net Is Posted Because of Excess Inventory,2000-11-13 07:00:00.000,Excess Inventory,Inventory glut,Inventory Oversupply
5056,Business Brief -- Coca-Cola Co.: A Restructuring of 3 Units Aims at Costs Bureaucracy,2000-11-15 07:00:00.000,Corporate Restructuring,Operational Efficiency Risks,Operational Efficiency
5057,Election 2000: Florida Legislature's GOP Leadership Discusses Session to Award Electoral Vote ---- By Joni James Staff Reporter of The Wall Street Journal,2000-11-22 07:00:00.000,Electoral Disputes,Electoral Controversy,Electoral Uncertainty
5058,Retail Sales of Firestone Tires in the U.S. Plummeted 40% Following the Recall ---- By Wall Street Journal staff reporters Todd Zaun Kanji Ishibashi and Timothy Aeppel,2000-11-13 07:00:00.000,Consumer Confidence,Consumer Confidence,Consumer Confidence
5059,Lilly Icos Say Cialis Shows Promise as Pill To Treat Impotence ---- Dow Jones Newswires,2000-11-29 07:00:00.000,Pharmaceutical Revenue Risk,Pharmaceutical Dependence,Pharmaceutical Innovation
5060,Daewoo Motor's Fate Provides Seoul Some Hope But Once-Burned Investors Could Remain Shy ---- By Craig Karmin Staff Reporter of The Wall Street Journal,2000-11-10 07:00:00.000,Automotive Industry Risk,Corporate Restructuring,Automotive Industry Recovery
5061,Business Brief -- Comdial Corp.: Net Loss Spurs Cost Cuts Via Layoffs Outsourcing,2000-11-03 07:00:00.000,Cost Reduction,Corporate Restructuring,Cost Reduction
5062,Election 2000: Tired of Recounts? Try Ireland's Approach to Runoff Voting ---- By David Wessel and James R. Hagerty Staff Reporters of The Wall Street Journal,2000-11-14 07:00:00.000,Electoral System Reforms,Electoral System Risks,Electoral Reform
5063,The Americas: A Cuban Economist Calls for Less Official Meddling ---- By Marta Beatrice Roque,2000-11-24 07:00:00.000,Government Intervention,Government Intervention,Regulatory Uncertainty
5064,Sema's Woes Hint at Hard Times at Small Outsourcing Firms in Europe ---- By David Pringle Staff Reporter of The Wall Street Journal,2000-11-27 07:00:00.000,Small Business Struggles,Small Business Struggles,Small Business Resilience
5065,Florida's Supreme Court Zeroes In on Republican Position on Manual Recounts ---- By Jess Bravin and Joni James Staff Reporters of The Wall Street Journal,2000-11-21 07:00:00.000,Election Litigation Risks,Electoral Uncertainty,Legal Uncertainty
5066,FedEx Says American Freightways Deal Will Boost Earnings Ground Deliveries ---- By Rick Brooks Staff Reporter of The Wall Street Journal,2000-11-14 07:00:00.000,Mergers & Acquisitions,Overleveraged Expansion,Earnings Growth
5067,Mexico's Fox Introduces His Cabinet --- New President Picks Wall Street Favorite As Finance Minister ---- By David Luhnow Staff Reporter of The Wall Street Journal,2000-11-24 07:00:00.000,Political Stability,Potential political influence,Political Stability
5068,Profits Help European Stocks Stage a Comeback But Analysts Say It Is Just the Top of the Seesaw ---- By Craig Karmin Staff Reporter of The Wall Street Journal,2000-11-15 07:00:00.000,Market Volatility,Market Volatility,Market Volatility
5069,Sentries Aboard USS Cole Could Fire Only If Fired On --- Strict Rules of Engagement Were in Force for a Day After Terrorist Bombing ---- By Greg Jaffe Staff Reporter of The Wall Street Journal,2000-11-15 07:00:00.000,Military Engagement Rules,Limited Engagement Rules,Rules of Engagement
5070,Alcatel Shares Rise On News It Won't Bid For Thomson-CSF ---- Dow Jones Newswires,2000-11-27 07:00:00.000,Mergers and Acquisitions,Market Speculation,Market Stability
5071,Bush Files Lawsuit to Force Acceptance Of Overseas Ballots That Were Rejected ---- By John D. McKinnon Staff Reporter of The Wall Street Journal,2000-11-24 07:00:00.000,Election Litigation,Electoral Uncertainty,Legal Challenges
5072,Dollar Gains Modestly Against Yen Euro As Election Impasse in Florida Continues ---- By Tom Barkley Dow Jones Newswires,2000-11-15 07:00:00.000,Currency Volatility,Currency Volatility,Currency Volatility
5073,Risk Aversion Is Name of the Game as Election Feeds Unease ---- By Tom Barkley Dow Jones Newswires,2000-11-13 07:00:00.000,Election Uncertainty,Election Uncertainty,Market Volatility
5074,Communication-Chip Stocks Rule Trading But Many Ponder Politics Take the Sidelines ---- By Kopin Tan Dow Jones Newswires,2000-11-08 07:00:00.000,Market Volatility,Regulatory Uncertainty,Regulatory Uncertainty
5075,Business Brief -- Clorox Co.: Earnings for Fiscal Year To Be Below Expectations,2000-12-15 07:00:00.000,Earnings Miss,Earnings Miss,Earnings Shortfall
5076,Thinking Things Over: A Photo Finish on Same Old Lines ---- By Robert L. Bartley,2000-12-11 07:00:00.000,Market Uncertainty,Market Saturation,Market Saturation
5077,Election 2000: Bush as Texas Sees Him: Lean Not Lightweight ---- By Michael Totty Staff Reporter of The Wall Street Journal,2000-12-14 07:00:00.000,Political Uncertainty,Political Uncertainty,Political Stability
5078,Business Brief -- Crown Cork & Seal Co.: S&P Lowers Credit Rating On Operating Environment,2000-12-26 07:00:00.000,Credit Rating Downgrade,Credit Rating Downgrade,Credit Rating Downgrade
5079,GOP Members Move to Head House Committees as Businesses Watch ---- By Jim VandeHei and Jerry Guidera Staff Reporters of The Wall Street Journal,2000-12-05 07:00:00.000,Legislative Risk,Policy Uncertainty,Regulatory Shifts
5080,Dollar Resumes Its Downward Direction As Possible Rate Cuts Set Negative Tone ---- By Christine Richard Dow Jones Newswires,2000-12-07 07:00:00.000,Interest Rate Cuts,Currency Depreciation,Interest Rate Cuts
5081,Unocal Names Three to Executive Posts Enhances Employee Severance Packages ---- By Alexei Barrionuevo Staff Reporter of The Wall Street Journal,2000-12-07 07:00:00.000,Corporate Governance,Corporate Governance Risks,Corporate Restructuring
5082,State Bid to Curb Smoking by Youth Is Judged a Failure,2000-12-20 07:00:00.000,Tobacco Regulation,Public Health Policy,Public Health Policy
5083,Shares of Cadiz Surge On Signs of Approval Of Water-Supply Plan,2000-12-27 07:00:00.000,Regulatory Approval,Regulatory Approval Risk,Regulatory Approval
5084,Drop in PC Sales Spurs a Decline In Chip Market ---- By Molly Williams Staff Reporter of The Wall Street Journal,2000-12-28 07:00:00.000,Semiconductor Demand,Semiconductor Demand,Market Resilience
5085,Venture Capitalism Proves a Wild Ride For Swedish Start-Up --- CitiKey Was Set to Take Off But Things Turned Sour; `A Valuation of Nothing' ---- By Stephanie Gruner Staff Reporter of The Wall Street Journal,2000-12-06 07:00:00.000,Startup Valuations,Valuation Bubble,Valuation Volatility
5086,Hitting the Brakes: In Order to Grow GM Finds That the Order Of the Day Is Cutbacks --- For CEO Rick Wagoner Killing Off Oldsmobile Was Just the Beginning --- Banking on Hot New Cars ---- By Gregory L. White Staff Reporter of The Wall Street Journal,2000-12-18 07:00:00.000,Automotive Industry Restructuring,Automotive Industry Contraction,Product Innovation
5087,Business Brief -- Potlatch Corp.: Earnings for Fourth Quarter To Miss Analysts' Estimates,2000-12-21 07:00:00.000,Earnings Miss,Earnings Miss,Earnings Miss
5088,How Japan's Toshiba Got Its Focus Back --- It Took Years to Persuade Recalcitrant Managers To Accept Restructure ---- By Robert A. Guth Staff Reporter of The Wall Street Journal,2000-12-28 07:00:00.000,Corporate Restructuring,Corporate Restructuring,Corporate Restructuring
5089,Deals & Deal Makers: DLJ's Threat of Walkout Was an Issue In IBP's Failure to Talk to Other Bidders ---- By Steven Lipin Staff Reporter of The Wall Street Journal,2000-12-01 07:00:00.000,Bidder Negotiation Risk,Bidding Disruption,Market Confidence
5090,Trading in Philip Morris Options Turns Active As Market Focuses on Supreme Court Ruling ---- By Gaston F. Ceron Dow Jones Newswires,2000-12-13 07:00:00.000,Legal Risk,Regulatory Uncertainty,Legal Uncertainty
5091,State's Electricity Deregulation Is in Chaos --- California Generators Seek Credit Guarantees to Sell Power as U.S. Steps In ---- By Rebecca Smith Staff Reporter of The Wall Street Journal,2000-12-14 07:00:00.000,Energy Market Volatility,Market Instability,Regulatory Uncertainty
5092,As U.S. Sneezes Neighbors Fear a Cold --- The Downturn Up North Could Quash Recovery Of Latin Economies ---- By Wall Street Journal staff reporters Matt Moffett in Rio de Janeiro and Joel Millman in Mexico City,2000-12-12 07:00:00.000,Regional contagion,Regional contagion,Regional Spillover
5093,As Market in Hong Kong Provides a Safe Haven More Offerings From Mainland Alter Dynamics ---- By Craig Karmin Staff Reporter of The Wall Street Journal,2000-12-22 07:00:00.000,Hong Kong Market Stability,Capital Flight,Market Diversification
